word,origin,mgtow,trp,incels,health,criticism,mra,pua
voicecel,ours,-0.0019501563,0.016225304,0.5811846,0.05328545,0.09800206,0.0010250681,0.030054389
simp,prior,2.4402895,0.80848235,0.281905,-0.7587304,0.54554814,0.15954576,-0.37225738
mgtows,ours,1.891845,0.57009786,0.38040268,-0.3655903,1.3271638,0.63566726,-0.13864255
betabuxxx,ours,0.08540068,0.084091194,0.44307047,0.08975364,0.058992684,0.04524122,0.120830305
whores,prior,1.8785369,1.0534859,1.4937713,-0.66754204,1.4711273,0.63643515,-0.00076963566
milf,prior,0.2061755,0.19737557,0.13284245,-0.51416165,-0.1394316,-0.2595837,0.3777458
shove,prior,0.3179317,0.47487468,-0.0014639816,-0.2347389,0.13072307,0.35245857,-0.06331132
daygame,ours,-0.013179887,1.0575498,0.16523163,-0.0227497,0.16201779,-0.14963697,1.9896457
trt,prior,0.4140034,1.2818441,0.15784964,-0.091102034,0.09538372,-0.10225982,0.23946969
redpillwomen,prior,0.23509808,0.4283751,0.010960252,-0.20627293,0.48240176,-0.047789615,0.11738548
oneitus,ours,0.13489437,0.9562082,0.14924866,0.026019705,0.41543627,-0.09136763,0.499981
uglycel,ours,-0.14512607,-0.15502499,0.3416773,-0.07590045,-0.031280987,-0.17759717,-0.024157729
trannymax,ours,0.03737734,0.09288699,0.3961368,0.061030798,0.052109927,0.038355272,0.07186179
bb,prior,0.46409872,1.3115922,0.6156801,-0.16831003,0.33199552,-0.20086639,0.4409994
brainlet,ours,0.23058541,0.19068217,1.8230227,0.057054017,0.44542038,-0.0347567,-0.14303257
vocel,ours,-0.10565951,-0.2107719,0.7512455,-0.12522261,0.06363433,-0.11313978,-0.13849524
itcucks,prior,-0.0070426506,-0.02139046,0.5849773,0.024434574,0.25899896,-0.013241517,-0.013143924
bbc,prior,0.5360353,0.0016275533,1.0650011,-0.28213033,0.5835601,1.0426959,-0.32451913
trannymaxx,ours,0.09657235,0.08127233,0.5981801,0.0805965,-0.022837805,0.003164107,0.059343036
trp,prior,2.1396694,3.3164995,1.4960917,0.294492,2.8058355,1.44472,2.5729532
soys,ours,0.26936305,0.12273657,0.45105323,0.06881256,0.15498795,0.13503945,0.059516598
slutty,prior,0.46194714,1.0254614,0.47401577,-0.4014879,0.9202034,0.04098767,0.90216374
normcucks,ours,-0.06247998,-0.037948202,0.4159172,-0.0047595673,-0.020814104,-0.05851707,-0.020434774
khhv,prior,-0.14409666,-0.15168178,1.1986878,-0.057652712,-0.085447505,-0.2987595,-0.049110115
jawcel,ours,-0.025722705,0.016059764,0.45899683,0.04311592,-0.037038907,-0.019704865,0.04019282
titties,prior,0.4244091,0.2196026,0.20517613,-0.17675312,0.22695974,0.123165905,0.16784471
omega,prior,0.1960226,0.33925402,0.403301,-0.23991875,0.2058729,-0.1843487,-0.0037388299
sahm,prior,0.16375303,0.64239174,0.06912417,-0.027416615,1.0505232,0.28331122,-0.13135308
slits,prior,0.12504497,0.15187152,0.077150896,0.22871684,0.077468954,0.03733059,0.19219159
normies,prior,0.90169007,0.46126425,2.6779275,0.5957723,1.4374921,0.25111052,0.5909289
blackcel,prior,-0.27134883,-0.3537495,0.930583,-0.25375822,-0.3411196,-0.3228143,-0.29359382
chadlite,prior,0.08473745,0.04883549,2.4063046,-0.039280448,0.17279802,-0.24108994,0.19412252
chadullah,ours,-0.024160089,0.054153915,0.24821882,-0.0053125015,0.241341,-0.03945662,0.051725354
baldcels,ours,0.03983128,-0.14212283,0.7363814,-0.08188734,-0.0033389726,-0.057625327,-0.1531181
str,prior,0.070815034,0.45863155,0.21001133,0.07552965,0.3349401,0.081177354,0.34377775
punish,prior,0.36407846,0.8107367,0.1938382,0.13774787,0.6180354,1.116632,0.24468309
dangzagnut,ours,0.51866794,0.048273966,-0.06365621,0.017953318,-0.0047923997,-0.013442464,0.05667013
trucels,ours,-0.11809534,-0.18882361,1.4667974,-0.011179354,0.017721392,-0.12505905,-0.20643549
prime,prior,1.1039354,1.1078999,0.8022807,-0.3738178,0.61125714,0.6387531,0.61978006
sand,prior,0.32847062,0.11235729,0.19018695,-0.08479744,0.18820953,0.1747624,-0.08411425
soyboys,prior,0.71273786,0.25541854,0.9429474,-0.6464923,0.542873,-0.008727759,-0.60684454
studycel,ours,-0.0617957,0.01862971,0.64096886,-0.024247259,0.012075212,-0.055745516,-0.031700965
suicidefuel,ours,-0.23253752,-0.24681225,0.8527408,-0.12513079,-0.038665865,-0.31285793,-0.29556495
npc,prior,1.526625,-0.0010837931,0.8974202,0.11061529,0.23965137,0.0819638,0.07116448
mgtowers,ours,0.4129889,0.14712343,0.23251486,-0.015941326,0.1668425,0.14994758,0.096215375
shooting,prior,0.5361896,0.56299657,0.2589125,0.06420795,0.21938404,0.4469858,0.30573127
normie,prior,0.6299426,0.40278277,2.9603808,0.5347793,1.2416276,-0.025890538,0.7807198
nexting,ours,-0.01740162,1.6828665,-0.10258887,-0.07318268,0.26781848,-0.01871764,1.2935584
creature,prior,1.0968357,0.25921658,0.7828067,-0.012118487,0.5968403,0.22271883,0.0061209444
gymmaxing,ours,0.09324111,0.13335101,0.5045716,0.13022967,0.100782484,0.0983755,0.13774063
normalfags,prior,-0.021389382,-0.014545318,0.88347787,-0.026271667,0.12042819,-0.039440982,-0.16256511
framecels,ours,-0.20196451,-0.14191079,0.7472885,-0.1644898,-0.10310283,-0.11761638,-0.16670056
feminazi,prior,0.82190835,-0.114024,-0.051929474,-0.5775229,0.5982425,0.74114674,-0.5847744
rape,prior,1.6545745,0.8040584,0.83680224,-0.21852216,1.7614975,2.4374044,0.27150044
bitch,prior,2.0194216,1.6969603,1.5798271,0.80713713,1.7158275,1.4798368,1.3780304
mrp,prior,0.36542737,1.344581,0.14598536,0.22801986,1.176656,0.29156974,0.591235
instathots,ours,0.307465,0.12511529,0.31262138,0.1446866,0.12900563,0.120555386,0.08130481
cuckland,ours,0.4112783,0.106045365,0.347384,0.08828731,0.2894299,0.079750165,0.06195414
chav,prior,0.2584771,0.16992503,0.33814466,0.11671691,0.2085845,0.23392498,0.19002877
gymcell,ours,-0.044541057,0.01920925,0.58812124,0.0364423,0.0749713,-0.038259972,0.002964452
soycuck,ours,0.08984801,0.12081482,0.68287593,0.09954722,0.06745285,0.065638416,0.08515862
punching,prior,0.012411997,0.0021261834,0.10904306,0.24278747,-0.09570227,0.106221706,-0.07611369
shithead,prior,-0.0583029,0.01909001,0.018963933,-0.07075313,0.38127926,0.052075103,-0.14311947
ricecels,prior,-0.24218646,-0.28439733,1.6235101,-0.34045377,-0.14624639,-0.27051327,-0.30293077
wamen,ours,0.5658106,-0.014550377,0.41852126,-0.16476384,0.240804,0.5819435,-0.10331171
torture,prior,0.1844657,-0.07099724,0.50834864,0.9491476,0.11041568,0.22378333,-0.32690808
noodle,prior,-0.08717486,0.043693393,0.87122387,-0.36746868,-0.15272222,-0.26697898,-0.20199618
